Course,Description,Advertising and Promotions Managers,Marketing Managers,Public Relations Managers,Fundraising Managers,Market Research Analysts and Marketing Specialists,Search Marketing Strategists,Art Directors,Special Effects Artists and Animators,Producers and Directors,Media Programming Directors,Media Technical Directors/Managers,Music Directors and Composers,"News Analysts, Reporters, and Journalists",Public Relations Specialists,Editors,Audio and Video Technicians,Sound Engineering Technicians,"Camera Operators, Television, Video, and Film",Film and Video Editors,Advertising Sales Agents,"Telecommunications Equipment Installers and Repairers, Except Line Installers",Camera and Photographic Equipment Repairers
MC 103 - Science & Media Literacy,"General education course covering science literacy, media literacy and the intersection of the two.",28.0,28.0,28.0,28.0,28.0,28.0,14.0,14.0,14.0,14.0,14.0,14.0,28.0,28.0,28.0,14.0,14.0,14.0,28.0,28.0,28.0,14.0
MC 201 - Mass Media in Society,"Analysis of mass media focusing on technological, economic, governmental, and societal impact.",23.1,23.1,23.1,23.1,23.1,23.1,23.1,23.1,23.1,23.1,23.1,23.1,23.8,23.1,23.8,23.1,23.1,23.1,23.8,23.1,23.1,23.1
MC 202 - Writing for the Media,"Introduction to media writing styles and techniques including writing news stories, audio & video scripts, social media, advertising and public relations content.",28.0,28.0,28.0,28.0,28.0,28.0,14.0,14.0,14.0,14.0,14.0,14.0,58.0,28.0,58.0,14.0,14.0,14.0,58.0,28.0,28.0,14.0
MC 204 - Introduction to Audio and Video Production,Planning and realization of audio and video productions; studio techniques; audio and video non-linear editing.,14.0,14.0,14.0,14.0,14.0,14.0,72.0,72.0,72.0,72.0,72.0,72.0,14.0,14.0,14.0,72.0,72.0,72.0,14.0,14.0,14.0,72.0
MC 301 - Advanced Audio Production,Professional audio production across digital media platforms.,7.0,7.0,7.0,7.0,7.0,7.0,86.0,86.0,86.0,86.0,86.0,86.0,7.0,7.0,7.0,100.0,100.0,86.0,7.0,7.0,7.0,86.0
MC 321 - Feature Writing,Learn the essentials of writing and researching feature news pieces.,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,86.0,7.0,86.0,7.0,7.0,7.0,86.0,7.0,7.0,7.0
MC 322 - Copy Editing For News Media,Students build professional news editing skills.,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,86.0,7.0,100.0,7.0,7.0,7.0,100.0,7.0,7.0,7.0
MC 323 - Digital Publishing and Design,Digital publication design and production of layouts.,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,28.0,21.0,28.0,21.0,21.0,21.0,28.0,21.0,21.0,21.0
MC 324 - Advanced News Reporting,Reporting for print and digital media about local and state government.,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,93.0,3.5,93.0,3.5,3.5,3.5,93.0,3.5,3.5,3.5
MC 325 - Fundamentals of Advertising,Provides an overview of advertising from the perspectives of marketing and social roles.,86.0,86.0,86.0,86.0,86.0,86.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,86.0,7.0,7.0,7.0,7.0,7.0,86.0,86.0,7.0
