OCC_CODE,Title - Alt,Alt_Description,Track
11-2011,Advertising and Promotions Managers - Advertising Account Executive,Develops and maintains client relationships while overseeing the execution of creative advertising campaigns.,Advertising & Strategic Media
11-2011,Advertising and Promotions Managers - Advertising Account Manager,"Manages advertising strategies for clients, coordinating between creative, media, and account teams to ensure successful outcomes.",Advertising & Strategic Media
11-2011,Advertising and Promotions Managers - Advertising Agency Manager,"Directs the operations and strategic vision of an advertising agency, ensuring client satisfaction and agency growth.",Advertising & Strategic Media
11-2011,Advertising and Promotions Managers - Advertising Campaign Manager,"Plans and executes end-to-end advertising campaigns, aligning creative assets with targeted distribution strategies.",Advertising & Strategic Media
11-2011,Advertising and Promotions Managers - Advertising Coordinator,"Supports the advertising team by managing schedules, communicating with vendors, and ensuring campaigns launch on time.",Advertising & Strategic Media
11-2011,Advertising and Promotions Managers - Advertising Director,Leads the development and execution of an organization’s advertising strategy across multiple platforms.,Advertising & Strategic Media
11-2011,Advertising and Promotions Managers - Advertising Executive,"Oversees high-level advertising initiatives, managing client portfolios and driving campaign results.",Advertising & Strategic Media
11-2011,Advertising and Promotions Managers - Advertising Manager,"Coordinates advertising activities to promote products or services, overseeing budgets, creatives, and media buys.",Advertising & Strategic Media
11-2011,Advertising and Promotions Managers - Advertising Operations Manager,"Manages backend operations of digital advertising campaigns, ensuring smooth ad delivery and data accuracy.",Advertising & Strategic Media
11-2011,Advertising and Promotions Managers - Advertising Sales Manager,"Supervises a team of advertising sales representatives, setting targets and guiding sales strategies to meet revenue goals.",Advertising & Strategic Media
11-2011,Advertising and Promotions Managers - Advertising Vice President,"Provides executive leadership for the advertising department, aligning marketing efforts with organizational strategy.",Advertising & Strategic Media
11-2011,Advertising and Promotions Managers - Campaign Director,"Directs high-level campaign initiatives, often in political, nonprofit, or marketing sectors, ensuring strategic alignment and impact.",Advertising & Strategic Media
11-2011,Advertising and Promotions Managers - Campaign Manager,"Coordinates all aspects of a campaign, including messaging, logistics, staffing, and performance tracking.",Advertising & Strategic Media
11-2011,Advertising and Promotions Managers - Campaign Program Manager,"Oversees a portfolio of campaigns, ensuring consistency across initiatives and adherence to organizational goals.",Advertising & Strategic Media
11-2011,Advertising and Promotions Managers - Classified Advertising Manager,"Manages the development, sales, and placement of classified ads in print and online formats.",Advertising & Strategic Media
11-2011,Advertising and Promotions Managers - Digital Advertising Director,"Guides digital ad strategy and implementation across online platforms, emphasizing performance and innovation.",Advertising & Strategic Media
11-2011,Advertising and Promotions Managers - Digital Advertising Manager,"Plans and manages digital advertising campaigns, optimizing for reach, engagement, and ROI.",Advertising & Strategic Media
11-2011,Advertising and Promotions Managers - Digital Marketing Coordinator,"Assists in the implementation of digital marketing strategies including SEO, email, and social media.",Advertising & Strategic Media
11-2011,Advertising and Promotions Managers - Marketing and Promotions Manager,Combines marketing and promotional tactics to increase brand awareness and drive customer engagement.,Advertising & Strategic Media
11-2011,Advertising and Promotions Managers - Marketing Coordinator,"Coordinates the execution of marketing plans, providing logistical and administrative support to campaigns.",Advertising & Strategic Media
11-2011,Advertising and Promotions Managers - Marketing Director,"Leads the strategic direction of all marketing efforts, including branding, campaigns, and market analysis.",Advertising & Strategic Media
11-2011,Advertising and Promotions Managers - Marketing Manager,"Oversees marketing campaigns from planning through execution, ensuring brand consistency and measurable results.",Advertising & Strategic Media
11-2011,Advertising and Promotions Managers - Media Director,"Leads media strategy and placement decisions, optimizing advertising spend across traditional and digital channels.",Advertising & Strategic Media
11-2011,Advertising and Promotions Managers - Media Promoter,Promotes media content or products through targeted campaigns and public engagement strategies.,Advertising & Strategic Media
11-2011,Advertising and Promotions Managers - Online Advertising Director,"Oversees internet-based ad initiatives, developing strategies that leverage platforms like Google Ads and social media.",Advertising & Strategic Media
11-2011,Advertising and Promotions Managers - Promotions Director,Designs and leads promotional campaigns to increase brand exposure and consumer action.,Advertising & Strategic Media
11-2011,Advertising and Promotions Managers - Promotions Executive Producer,"Manages the production of promotional content, ensuring alignment with branding and marketing goals.",Advertising & Strategic Media
11-2011,Advertising and Promotions Managers - Promotions Manager,"Plans and implements promotional strategies to support product launches, sales, and brand positioning.",Advertising & Strategic Media
11-2011,Advertising and Promotions Managers - Promotions Vice President,"Provides strategic oversight for promotional initiatives, managing teams and aligning efforts with broader company goals.",Advertising & Strategic Media
11-2021,Marketing Managers - Digital Marketing Manager,"Leads digital marketing operations including SEO, paid ads, social media, and content strategy.",Advertising & Strategic Media
11-2021,Marketing Managers - Internet Marketing Manager,Develops and manages campaigns that utilize internet platforms to promote goods or services.,Advertising & Strategic Media
11-2021,Marketing Managers - Marketing Administrator,"Supports the marketing department through administrative tasks, vendor coordination, and project tracking.",Advertising & Strategic Media
11-2021,Marketing Managers - Marketing Communications Manager,Integrates marketing and communication strategies to support brand messaging across channels.,Advertising & Strategic Media
11-2021,Marketing Managers - Marketing Coordinator,"Organizes and tracks marketing projects, coordinating internal teams and external vendors.",Advertising & Strategic Media
11-2021,Marketing Managers - Marketing Director,"Oversees the marketing department’s vision, team development, and campaign success.",Advertising & Strategic Media
11-2021,Marketing Managers - Marketing Executive,"Executes high-level marketing plans, often focused on strategic growth and stakeholder engagement.",Advertising & Strategic Media
11-2021,Marketing Managers - Marketing Manager,"Plans, directs, and evaluates marketing campaigns to meet organizational objectives.",Advertising & Strategic Media
11-2021,Marketing Managers - Marketing Operations Director,"Oversees marketing workflows, data systems, and operational infrastructure to improve campaign efficiency.",Advertising & Strategic Media
11-2021,Marketing Managers - Marketing Product Manager,"Develops marketing strategies for specific products, aligning market needs with promotional efforts.",Advertising & Strategic Media
11-2021,Marketing Managers - Marketing Sales Supervisor,"Leads a team of marketing sales professionals, ensuring performance goals and client satisfaction.",Advertising & Strategic Media
11-2021,Marketing Managers - Media Marketing Director,Manages media partnerships and content-driven marketing efforts across digital and traditional platforms.,Advertising & Strategic Media
11-2021,Marketing Managers - Product Marketing Manager,"Creates go-to-market strategies for products, integrating customer research and competitive analysis.",Advertising & Strategic Media
11-2021,Marketing Managers - Sales and Marketing Director,"Oversees integrated sales and marketing efforts, aligning departments to drive business growth.",Advertising & Strategic Media
11-2021,Marketing Managers - Sales and Marketing Manager,"Manages sales and marketing initiatives, ensuring campaign alignment with revenue targets.",Advertising & Strategic Media
11-2021,Marketing Managers - Sales and Marketing Vice President,"Leads strategic sales and marketing efforts at the executive level, focused on expansion and profitability.",Advertising & Strategic Media
11-2021,Marketing Managers - Sales Marketing Director,Directs marketing initiatives that directly support and enhance sales functions.,Advertising & Strategic Media
11-2021,Marketing Managers - Sustainable Products Marketing Manager,Specializes in marketing products with environmentally sustainable features or certifications.,Advertising & Strategic Media
11-2022,Sales Managers - Marketing Sales Supervisor,"Oversees a sales team focused on marketing services or campaigns, ensuring productivity and compliance.",Advertising & Strategic Media
11-2022,Sales Managers - Sales and Marketing Director,Drives revenue by coordinating both sales strategies and marketing campaigns.,Advertising & Strategic Media
11-2022,Sales Managers - Sales and Marketing Manager,Balances marketing planning and sales execution to meet company targets.,Advertising & Strategic Media
11-2022,Sales Managers - Sales and Marketing Vice President,"Oversees all sales and marketing divisions, setting executive strategy and driving organizational growth.",Advertising & Strategic Media
11-2032,Public Relations Managers - Campaign Manager,Directs public-facing campaigns to shape public perception and ensure media coverage aligns with key messages.,Advertising & Strategic Media
11-2032,Public Relations Managers - Marketing and Communications Manager,Integrates marketing initiatives with public relations to manage brand image and stakeholder messaging.,Advertising & Strategic Media
11-2032,Public Relations Managers - Marketing Communications Manager,Coordinates communication strategies across platforms to reinforce brand identity and promote engagement.,Advertising & Strategic Media
11-2032,Public Relations Managers - Public Relations Director,"Leads public relations strategy, media outreach, and crisis communication for brand or organization.",Advertising & Strategic Media
11-2032,Public Relations Managers - Public Relations Manager,"Manages the day-to-day execution of public relations plans, press releases, and media interactions.",Advertising & Strategic Media
11-2032,Public Relations Managers - Public Relations Supervisor,Oversees a team of PR professionals to ensure campaigns are effectively implemented and media coverage is maximized.,Advertising & Strategic Media
11-2033,Fundraising Managers - Campaign Manager,"Plans and leads fundraising initiatives, coordinating donors, messaging, and outreach events.",Advertising & Strategic Media
11-2033,Fundraising Managers - Fundraising and Marketing Director,Develops strategies that align fundraising goals with marketing campaigns to maximize donor engagement.,Advertising & Strategic Media
11-2033,Fundraising Managers - Fundraising Campaign Manager,"Executes large-scale fundraising campaigns with an emphasis on messaging, donor relations, and results tracking.",Advertising & Strategic Media
11-9013,"Farmers, Ranchers, and Other Agricultural Managers - Aquaculture Cooperative Marketing Director","Oversees marketing and promotional efforts for aquaculture cooperatives, helping farmers reach broader markets.",Advertising & Strategic Media
13-1011,"Agents and Business Managers of Artists, Performers, and Athletes - Athlete Marketing Agent","Promotes athletes through endorsement deals, brand partnerships, and personal branding strategies.",Advertising & Strategic Media
13-1011,"Agents and Business Managers of Artists, Performers, and Athletes - Promotional Marketing Agent",Connects entertainers or artists with brands for cross-promotional campaigns and event sponsorships.,Advertising & Strategic Media
13-1131,Fundraisers - Campaign Fundraiser,"Solicits donations through targeted outreach, building relationships with individuals and organizations.",Advertising & Strategic Media
13-1131,Fundraisers - Capital Campaign Fundraiser,"Raises funds for long-term, high-cost projects by coordinating major gift efforts and donor relations.",Advertising & Strategic Media
13-1161,Market Research Analysts and Marketing Specialists - Advertising Analyst,Evaluates advertising performance using data analytics to optimize campaigns and target audiences effectively.,Advertising & Strategic Media
13-1161,Market Research Analysts and Marketing Specialists - Digital Marketing Specialist,"Develops and executes digital strategies using tools like SEO, SEM, and email marketing to reach target audiences.",Advertising & Strategic Media
13-1161,Market Research Analysts and Marketing Specialists - Email Marketing Processor,"Creates and schedules email campaigns, manages mailing lists, and monitors delivery and response metrics.",Advertising & Strategic Media
13-1161,Market Research Analysts and Marketing Specialists - Email Marketing Specialist,Designs and implements targeted email campaigns that drive engagement and track campaign effectiveness.,Advertising & Strategic Media
13-1161,Market Research Analysts and Marketing Specialists - Marketing Analyst,Interprets market data and customer insights to inform business strategy and campaign targeting.,Advertising & Strategic Media
13-1161,Market Research Analysts and Marketing Specialists - Marketing Associate,"Supports marketing team activities including content creation, campaign coordination, and data tracking.",Advertising & Strategic Media
13-1161,Market Research Analysts and Marketing Specialists - Marketing Consultant,"Advises clients on how to improve marketing performance through strategy, branding, and analytics.",Advertising & Strategic Media
13-1161,Market Research Analysts and Marketing Specialists - Marketing Forecaster,Predicts market trends and consumer behavior to guide future marketing decisions and product planning.,Advertising & Strategic Media
13-1161,Market Research Analysts and Marketing Specialists - Marketing Representative,"Promotes products or services to potential clients through direct outreach, events, or digital platforms.",Advertising & Strategic Media
13-1161,Market Research Analysts and Marketing Specialists - Marketing Research Analyst,Designs and interprets consumer research studies to guide marketing decisions.,Advertising & Strategic Media
13-1161,Market Research Analysts and Marketing Specialists - Marketing Researcher,Conducts primary and secondary research to understand market conditions and consumer needs.,Advertising & Strategic Media
13-1161,Market Research Analysts and Marketing Specialists - Marketing Specialist,Creates and executes targeted marketing plans using a variety of digital and traditional tools.,Advertising & Strategic Media
13-1161,Market Research Analysts and Marketing Specialists - Marketing Support Specialist,Provides operational and administrative support to marketing teams to ensure campaign success.,Advertising & Strategic Media
13-1161,Market Research Analysts and Marketing Specialists - Social Media Specialist,"Manages brand presence on social media platforms, creating content and engaging with followers to build loyalty.",Advertising & Strategic Media
13-1161,Market Research Analysts and Marketing Specialists - Technical Marketing Consultant,Bridges technical product knowledge with marketing strategy to help clients communicate product value.,Advertising & Strategic Media
13-1161,Market Research Analysts and Marketing Specialists - Technical Marketing Specialist,"Develops marketing content that explains technical product features in accessible, persuasive language.",Advertising & Strategic Media
13-1161,Search Marketing Strategists - Digital Marketing Strategist,"Plans data-driven digital strategies to increase engagement, reach, and conversions across platforms.",Advertising & Strategic Media
13-1161,Search Marketing Strategists - Digital Media Planner,Chooses media channels and schedules digital ad placements to optimize reach and return on investment.,Advertising & Strategic Media
13-1161,Search Marketing Strategists - Interactive Marketing Strategist,Designs engaging marketing experiences through interactive web and mobile platforms.,Advertising & Strategic Media
13-1161,Search Marketing Strategists - Interactive Media Marketing Specialist,"Implements campaigns using interactive tools like quizzes, live chats, or augmented reality.",Advertising & Strategic Media
13-1161,Search Marketing Strategists - Interactive Media Marketing Strategist,Crafts media strategies that focus on interactivity and user engagement across platforms.,Advertising & Strategic Media
13-1161,Search Marketing Strategists - Internet Marketing Specialist,Promotes products or services through online channels including search engines and display networks.,Advertising & Strategic Media
13-1161,Search Marketing Strategists - Internet Marketing Strategist,Designs internet-based marketing campaigns using analytics and conversion optimization techniques.,Advertising & Strategic Media
13-1161,Search Marketing Strategists - Internet Media Planner,Plans and negotiates the purchase of internet advertising space based on campaign goals and audience insights.,Advertising & Strategic Media
13-1161,Search Marketing Strategists - Marketing Communications Specialist,Crafts content and communication strategies that support brand and product messaging across channels.,Advertising & Strategic Media
13-1161,Search Marketing Strategists - Marketing Consultant,"Offers expert guidance on optimizing marketing strategy through targeted, measurable search campaigns.",Advertising & Strategic Media
13-1161,Search Marketing Strategists - Marketing Specialist,Focuses on implementing search engine and digital strategies within broader marketing efforts.,Advertising & Strategic Media
13-1161,Search Marketing Strategists - New Media Strategist,"Develops content and outreach strategies for emerging platforms such as streaming, social audio, or the metaverse.",Advertising & Strategic Media
13-1161,Search Marketing Strategists - Online Marketing Consultant,Helps organizations refine and expand their online marketing presence through analytics and digital tools.,Advertising & Strategic Media
13-1161,Search Marketing Strategists - Online Marketing Strategist,"Plans digital campaigns with a focus on web performance, SEO, and behavioral targeting.",Advertising & Strategic Media
13-1161,Search Marketing Strategists - Paid Search Marketing Strategist,"Manages paid search campaigns on platforms like Google Ads, optimizing for ROI and traffic.",Advertising & Strategic Media
13-1161,Search Marketing Strategists - Search Advertising Strategist,Plans and monitors search-based ad campaigns to ensure visibility and conversion.,Advertising & Strategic Media
