OCC_CODE,AREA_TITLE,A_MEDIAN
43-1011,Alabama,"36,000"
11-9013,Arizona,"102,350"
43-1011,Arizona,"79,800"
11-2022,California,"178,260"
11-9013,California,"105,390"
13-1161,California,"102,960"
41-4012,California,"102,860"
43-1011,California,"73,180"
51-1011,California,"67,390"
11-9013,Florida,"87,360"
41-4012,Florida,"110,570"
43-1011,Florida,"70,580"
51-1011,Florida,"53,600"
51-1011,Georgia,"67,150"
41-4012,Idaho,"71,860"
51-1011,Idaho,"55,300"
11-9013,Illinois,"100,780"
41-4012,Illinois,"55,530"
11-9013,Indiana,"48,580"
11-9013,Iowa,"101,340"
41-4012,Iowa,"45,940"
41-4012,Kansas,"79,040"
11-9013,Kentucky,"72,010"
43-1011,Louisiana,"49,920"
11-9013,Michigan,"111,200"
41-4012,Michigan,"57,410"
51-1011,Michigan,"55,950"
11-9013,Minnesota,"83,210"
41-4012,Minnesota,"78,440"
11-9013,Mississippi,"75,130"
43-1011,Mississippi,"46,920"
41-4012,Missouri,"73,440"
11-9013,Nebraska,"82,300"
51-1011,Nebraska,"63,380"
11-9013,New York,"75,700"
11-9013,North Carolina,"74,900"
41-4012,North Carolina,"59,570"
41-4012,North Dakota,"79,890"
11-2022,Ohio,"167,190"
41-4012,Oklahoma,"26,200"
41-4012,Oregon,"53,780"
41-4012,Pennsylvania,"59,890"
11-9013,Texas,"71,110"
43-1011,Texas,"46,910"
51-1011,Texas,"53,900"
41-4012,Virginia,"35,910"
11-9013,Washington,"100,650"
41-4012,Washington,"128,240"
43-1011,Washington,"86,800"
51-1011,Washington,"51,450"
43-1011,Alabama,"36,000"
43-1011,Alabama,"36,000"
11-9013,Arizona,"102,350"
43-1011,Arizona,"79,830"
11-2022,California,"178,260"
11-9013,California,"105,390"
13-1161,California,"102,960"
41-4012,California,"103,830"
43-1011,California,"73,540"
51-1011,California,"67,390"
11-9013,Florida,"87,360"
41-4012,Florida,"110,570"
43-1011,Florida,"66,090"
51-1011,Florida,"53,600"
51-1011,Georgia,"67,150"
41-4012,Idaho,"71,860"
11-9013,Illinois,"100,780"
41-4012,Illinois,"55,530"
11-9013,Indiana,"48,580"
11-9013,Iowa,"101,340"
41-4012,Iowa,"45,940"
41-4012,Kansas,"79,040"
11-9013,Kentucky,"72,010"
43-1011,Louisiana,"46,490"
11-9013,Michigan,"113,170"
41-4012,Michigan,"59,300"
51-1011,Michigan,"55,950"
11-9013,Minnesota,"83,210"
41-4012,Minnesota,"78,440"
11-9013,Mississippi,"75,130"
43-1011,Mississippi,"42,040"
41-4012,Missouri,"73,440"
11-9013,Nebraska,"82,300"
51-1011,Nebraska,"63,380"
11-9013,New York,"75,700"
11-9013,North Carolina,"74,900"
41-4012,North Carolina,*
41-4012,North Dakota,"79,890"
11-2022,Ohio,"167,190"
41-4012,Oklahoma,"26,200"
41-4012,Pennsylvania,"58,980"
11-9013,Texas,"71,110"
43-1011,Texas,"48,210"
41-4012,Virginia,"35,910"
11-9013,Washington,"85,500"
43-1011,Washington,"86,800"
51-1011,Washington,"51,450"
11-9013,Arizona,"102,350"
43-1011,Arizona,"79,830"
11-9013,California,"109,010"
13-1161,California,"103,820"
41-4012,California,"104,820"
43-1011,California,"74,090"
51-1011,California,"67,390"
11-9013,Florida,"91,230"
41-4012,Florida,"111,140"
43-1011,Florida,"66,090"
51-1011,Florida,"53,600"
51-1011,Georgia,"67,150"
41-4012,Idaho,"71,860"
11-9013,Illinois,"100,780"
41-4012,Illinois,"55,010"
11-9013,Indiana,"48,740"
11-9013,Iowa,"76,560"
41-4012,Iowa,"45,940"
41-4012,Kansas,"78,120"
11-9013,Michigan,"114,350"
51-1011,Michigan,"55,950"
11-9013,Minnesota,"96,500"
41-4012,Minnesota,"78,440"
11-9013,Mississippi,"91,270"
41-4012,Missouri,"73,440"
11-9013,Nebraska,"84,140"
51-1011,Nebraska,"63,380"
11-9013,North Carolina,"82,030"
41-4012,North Carolina,*
41-4012,North Dakota,"79,890"
41-4012,Oklahoma,"26,200"
11-9013,Texas,"81,440"
43-1011,Texas,"48,560"
41-4012,Virginia,"35,910"
11-9013,Washington,"85,500"
43-1011,Washington,"79,180"
51-1011,Washington,"51,450"
11-9013,California,"78,260"
11-9013,Kentucky,"72,010"
41-4012,Michigan,"53,480"
11-9013,New York,"75,700"
11-9013,Texas,"37,200"
27-3031,Alaska,*
43-1011,Alaska,"89,410"
51-1011,Alaska,"109,040"
43-1011,Arizona,"64,780"
17-3029,California,"61,270"
41-4012,California,"101,900"
43-1011,California,"83,990"
51-1011,California,"98,430"
11-2022,Florida,"223,760"
41-4012,Florida,"73,830"
51-1011,Florida,"92,510"
43-1011,Georgia,"69,020"
51-1011,Georgia,"80,610"
51-1011,Idaho,"103,480"
41-4012,Illinois,"96,670"
51-1011,Illinois,"77,630"
51-1011,Indiana,"58,760"
41-4012,Iowa,"60,000"
43-1011,Kansas,"54,950"
15-1299,Louisiana,"63,880"
17-3029,Louisiana,"46,190"
41-4012,Louisiana,"82,860"
43-1011,Louisiana,"73,040"
51-1011,Louisiana,"84,230"
41-4012,Michigan,"78,410"
51-1011,Minnesota,"102,530"
43-1011,Mississippi,"81,140"
51-1011,Missouri,"93,800"
43-1011,Montana,"89,990"
51-1011,Montana,*
17-3029,Nevada,"91,040"
51-1011,Nevada,"114,790"
11-2022,New Mexico,"101,180"
43-1011,New Mexico,"57,990"
51-1011,New Mexico,"111,910"
41-4012,New York,"99,300"
51-1011,New York,"80,110"
41-4012,North Carolina,"87,230"
43-1011,North Carolina,"78,580"
51-1011,North Dakota,"82,700"
41-4012,Ohio,"96,450"
43-1011,Ohio,"55,230"
11-2021,Oklahoma,"193,340"
13-1161,Oklahoma,"131,430"
15-1299,Oklahoma,"141,380"
15-2051,Oklahoma,"157,020"
41-1012,Oklahoma,"124,490"
41-4011,Oklahoma,"66,780"
41-4012,Oklahoma,"66,780"
43-1011,Oklahoma,"76,510"
51-1011,Oklahoma,"80,490"
41-4012,Pennsylvania,"77,940"
43-1011,Pennsylvania,"66,500"
51-1011,Pennsylvania,"77,450"
41-4012,South Carolina,"104,000"
43-1011,Tennessee,"81,210"
51-1011,Tennessee,"83,640"
11-2021,Texas,"207,740"
11-2022,Texas,"184,990"
11-2032,Texas,"206,930"
13-1161,Texas,"122,930"
15-1299,Texas,"135,550"
15-2051,Texas,"107,910"
17-3029,Texas,"104,500"
27-3031,Texas,"78,030"
41-1012,Texas,"166,550"
41-4011,Texas,"121,550"
41-4012,Texas,"96,870"
41-9031,Texas,"90,960"
43-1011,Texas,"77,300"
51-1011,Texas,"98,700"
41-4012,Utah,"65,320"
43-1011,Utah,"45,760"
51-1011,Utah,"107,540"
41-4012,Virginia,"110,030"
51-1011,Virginia,"62,700"
43-1011,West Virginia,"61,030"
51-1011,West Virginia,"119,090"
41-4012,Wisconsin,"85,350"
43-1011,Wisconsin,"68,440"
51-1011,Wisconsin,"63,410"
41-4012,Wyoming,"112,890"
43-1011,Wyoming,"61,080"
51-1011,Wyoming,"124,730"
17-3029,California,"65,240"
17-3029,Louisiana,"46,060"
43-1011,Louisiana,"80,700"
51-1011,Louisiana,"131,690"
51-1011,New Mexico,"124,340"
13-1161,Oklahoma,"123,470"
15-1299,Oklahoma,"141,380"
15-2051,Oklahoma,"157,020"
43-1011,Oklahoma,"113,360"
51-1011,Oklahoma,"132,470"
51-1011,Pennsylvania,"111,180"
11-2021,Texas,"210,280"
11-2022,Texas,#
11-2032,Texas,#
13-1161,Texas,"118,690"
15-1299,Texas,"159,290"
15-2051,Texas,"106,950"
17-3029,Texas,"110,110"
27-3031,Texas,"77,520"
43-1011,Texas,"97,290"
51-1011,Texas,"129,830"
51-1011,Utah,"124,610"
51-1011,West Virginia,"105,250"
51-1011,Wyoming,"132,100"
17-3029,California,"65,240"
17-3029,Louisiana,"46,060"
43-1011,Louisiana,"80,700"
51-1011,Louisiana,"131,690"
51-1011,New Mexico,"124,340"
13-1161,Oklahoma,"123,470"
15-1299,Oklahoma,"141,380"
15-2051,Oklahoma,"157,020"
43-1011,Oklahoma,"113,360"
51-1011,Oklahoma,"132,470"
51-1011,Pennsylvania,"111,180"
11-2021,Texas,"210,280"
11-2022,Texas,#
11-2032,Texas,#
13-1161,Texas,"118,690"
15-1299,Texas,"159,290"
15-2051,Texas,"106,950"
17-3029,Texas,"110,110"
27-3031,Texas,"77,520"
43-1011,Texas,"97,290"
51-1011,Texas,"129,830"
51-1011,Utah,"124,610"
51-1011,West Virginia,"105,250"
51-1011,Wyoming,"132,100"
43-1011,Alaska,"66,850"
43-1011,Arizona,"64,780"
41-4012,California,"101,900"
43-1011,California,"91,400"
51-1011,California,"98,880"
41-4012,Florida,"73,760"
51-1011,Florida,"92,510"
51-1011,Georgia,"75,820"
51-1011,Idaho,"107,160"
41-4012,Illinois,"96,670"
51-1011,Illinois,"77,630"
51-1011,Indiana,"58,760"
41-4012,Iowa,"60,000"
43-1011,Louisiana,"48,320"
51-1011,Minnesota,"102,530"
51-1011,Missouri,"93,800"
51-1011,Montana,*
17-3029,Nevada,"91,040"
51-1011,Nevada,"114,790"
51-1011,New York,"80,110"
41-4012,North Carolina,"87,230"
43-1011,North Carolina,"78,580"
41-4012,Ohio,"89,990"
51-1011,Oklahoma,"80,490"
41-4012,Pennsylvania,"64,430"
43-1011,Pennsylvania,"50,920"
51-1011,Pennsylvania,"61,920"
41-4012,South Carolina,"104,000"
43-1011,Tennessee,"81,210"
51-1011,Tennessee,"83,230"
11-2022,Texas,"157,680"
41-4012,Texas,"81,880"
43-1011,Texas,"80,460"
51-1011,Texas,"98,700"
41-4012,Utah,"35,930"
51-1011,Utah,"92,990"
41-4012,Virginia,"110,030"
51-1011,Virginia,"109,180"
51-1011,West Virginia,"119,130"
41-4012,Wisconsin,"85,350"
43-1011,Wisconsin,"68,440"
51-1011,Wisconsin,"63,410"
51-1011,Wyoming,"120,840"
43-1011,Pennsylvania,"50,920"
51-1011,West Virginia,"119,130"
17-3029,Nevada,"91,040"
51-1011,Nevada,"114,790"
41-4012,California,"99,160"
43-1011,California,"82,590"
51-1011,California,"98,880"
41-4012,Florida,"67,330"
51-1011,Florida,"92,510"
51-1011,Georgia,"75,820"
51-1011,Idaho,"85,000"
41-4012,Illinois,"96,670"
51-1011,Illinois,"77,630"
41-4012,Iowa,"60,000"
51-1011,New York,"80,090"
41-4012,North Carolina,"87,230"
43-1011,North Carolina,"78,580"
41-4012,Ohio,"89,990"
51-1011,Oklahoma,"80,490"
41-4012,Pennsylvania,"64,430"
51-1011,Pennsylvania,"61,030"
41-4012,South Carolina,"104,000"
43-1011,Tennessee,"81,210"
51-1011,Tennessee,"89,110"
11-2022,Texas,"157,680"
41-4012,Texas,"81,880"
43-1011,Texas,"80,460"
51-1011,Texas,"98,700"
41-4012,Utah,"35,930"
41-4012,Virginia,"108,510"
41-4012,Wisconsin,"85,350"
43-1011,Wisconsin,"68,440"
51-1011,Wisconsin,"63,410"
51-1011,Wyoming,"123,090"
43-1011,Alaska,"115,540"
51-1011,Alaska,"108,670"
51-1011,California,"94,720"
15-1299,Louisiana,"63,880"
41-4012,Louisiana,"81,910"
43-1011,Louisiana,"75,310"
51-1011,Louisiana,"66,620"
43-1011,Mississippi,"81,140"
11-2022,New Mexico,"101,180"
43-1011,New Mexico,"57,990"
51-1011,New Mexico,"72,800"
41-1012,Oklahoma,"124,490"
41-4011,Oklahoma,"66,780"
43-1011,Oklahoma,"69,800"
51-1011,Oklahoma,"59,570"
41-4012,Pennsylvania,"123,570"
11-2021,Texas,"154,810"
11-2022,Texas,"170,310"
13-1161,Texas,"128,970"
15-1299,Texas,"82,960"
17-3029,Texas,"58,750"
27-3031,Texas,"85,230"
41-1012,Texas,"166,550"
41-4011,Texas,"121,550"
41-4012,Texas,"101,250"
41-9031,Texas,"87,490"
43-1011,Texas,"70,150"
51-1011,Texas,"66,560"
43-1011,Utah,"45,760"
41-4012,Wyoming,"112,890"
43-1011,Wyoming,"59,990"
43-1011,Alaska,"115,540"
51-1011,Alaska,"108,670"
51-1011,California,"94,720"
15-1299,Louisiana,"63,880"
41-4012,Louisiana,"81,910"
43-1011,Louisiana,"75,310"
51-1011,Louisiana,"66,620"
43-1011,Mississippi,"81,140"
11-2022,New Mexico,"101,180"
43-1011,New Mexico,"57,990"
51-1011,New Mexico,"72,800"
41-1012,Oklahoma,"124,490"
41-4011,Oklahoma,"66,780"
43-1011,Oklahoma,"69,800"
51-1011,Oklahoma,"59,570"
41-4012,Pennsylvania,"123,570"
11-2021,Texas,"154,810"
11-2022,Texas,"170,310"
13-1161,Texas,"128,970"
15-1299,Texas,"82,960"
17-3029,Texas,"58,750"
27-3031,Texas,"85,230"
41-1012,Texas,"166,550"
41-4011,Texas,"121,550"
41-4012,Texas,"101,250"
41-9031,Texas,"87,490"
43-1011,Texas,"70,150"
51-1011,Texas,"66,560"
43-1011,Utah,"45,760"
41-4012,Wyoming,"112,890"
43-1011,Wyoming,"59,990"
13-1161,Alabama,"104,530"
15-1299,Alabama,"60,850"
27-3031,Alabama,"132,460"
43-1011,Alabama,"84,060"
51-1011,Alabama,"155,820"
43-1011,Alaska,"84,380"
51-1011,Alaska,"122,650"
13-1161,Arizona,"103,740"
43-1011,Arizona,"79,750"
51-1011,Arizona,"132,360"
13-1161,Arkansas,"91,510"
43-1011,Arkansas,"64,430"
51-1011,Arkansas,"121,220"
11-2021,California,"173,190"
11-2022,California,"157,960"
11-2032,California,"171,120"
13-1161,California,"111,190"
15-1299,California,"137,310"
15-2051,California,"136,250"
27-3031,California,"137,370"
41-4012,California,"65,450"
43-1011,California,"123,860"
51-1011,California,"152,200"
43-1011,Connecticut,"102,510"
51-1011,Connecticut,"117,610"
43-1011,Delaware,"100,240"
51-1011,Delaware,"126,000"
11-2021,Florida,"193,610"
11-2032,Florida,"128,590"
13-1161,Florida,"108,590"
15-1299,Florida,"83,140"
15-2051,Florida,"105,490"
27-3031,Florida,"77,750"
41-4011,Florida,"64,880"
41-4012,Florida,"61,400"
43-1011,Florida,"71,210"
51-1011,Florida,"94,940"
13-1161,Georgia,"81,450"
15-1299,Georgia,"92,750"
15-2051,Georgia,"84,260"
27-3031,Georgia,"80,800"
41-4012,Georgia,"97,570"
43-1011,Georgia,"99,410"
15-1299,Hawaii,"99,170"
51-1011,Hawaii,"132,320"
11-2021,Illinois,"112,750"
11-2022,Illinois,"126,980"
11-2032,Illinois,"141,030"
13-1161,Illinois,"110,710"
15-2051,Illinois,"76,160"
27-3031,Illinois,"63,150"
43-1011,Illinois,"101,910"
51-1011,Illinois,"121,230"
11-2021,Indiana,"123,660"
13-1161,Indiana,"66,310"
15-1299,Indiana,"82,090"
15-2051,Indiana,"102,540"
27-3031,Indiana,"75,650"
43-1011,Indiana,"89,660"
51-1011,Indiana,"104,610"
13-1161,Iowa,"98,640"
27-3031,Iowa,"75,850"
43-1011,Iowa,"86,330"
51-1011,Iowa,"113,930"
43-1011,Kansas,"105,780"
51-1011,Kansas,"98,630"
43-1011,Kentucky,"79,340"
51-1011,Kentucky,"106,030"
15-1299,Louisiana,"90,390"
17-3029,Louisiana,"87,300"
43-1011,Louisiana,"64,280"
51-1011,Louisiana,"117,250"
51-1011,Maine,"103,940"
11-2021,Maryland,"174,090"
13-1161,Maryland,"96,420"
43-1011,Maryland,"100,800"
51-1011,Maryland,"126,960"
27-3031,Massachusetts,"117,890"
43-1011,Massachusetts,"107,720"
51-1011,Massachusetts,"121,210"
13-1161,Michigan,"127,890"
15-2051,Michigan,"85,170"
27-3031,Michigan,"99,260"
43-1011,Michigan,"126,820"
51-1011,Michigan,"134,810"
13-1161,Minnesota,"72,270"
17-3029,Minnesota,"77,500"
27-3031,Minnesota,"76,600"
43-1011,Minnesota,"80,590"
51-1011,Minnesota,"146,320"
27-3031,Mississippi,"80,430"
43-1011,Mississippi,"73,800"
51-1011,Mississippi,"127,850"
11-2021,Missouri,"163,800"
13-1161,Missouri,"80,370"
15-1299,Missouri,"92,470"
43-1011,Missouri,"100,140"
51-1011,Missouri,"126,090"
43-1011,Montana,"94,470"
51-1011,Montana,"126,760"
15-1299,Nevada,"66,660"
43-1011,Nevada,"98,880"
51-1011,Nevada,"144,190"
51-1011,New Hampshire,"129,400"
13-1161,New Jersey,"82,540"
15-1299,New Jersey,"94,560"
43-1011,New Jersey,"104,030"
51-1011,New Jersey,"131,110"
43-1011,New Mexico,"80,340"
51-1011,New Mexico,"84,120"
11-2021,New York,"167,820"
11-2022,New York,"153,480"
11-2032,New York,"178,110"
13-1161,New York,"124,420"
15-1299,New York,"130,030"
15-2051,New York,"105,880"
27-3031,New York,"136,950"
43-1011,New York,"104,710"
51-1011,New York,"143,400"
11-2022,North Carolina,#
13-1161,North Carolina,"64,920"
